"Stanice","Srazky_za_posledni_hodinu","Srazky_za_12_hodin","Srazky_za_24_hodin","Novy_snih_cm","Celkova_snehova_pokryvka_cm","date_stamp"
"Kuchařovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Luká","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Svratouch","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Dukovany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Ústí nad Orlicí","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","20/10/2021 12:00:00"
"Šerák","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Cheb","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Košetice","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","20/10/2021 12:00:00"
"Lysá hora","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","20/10/2021 12:00:00"
"Temelín","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"České Budějovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Praha-Karlov","0,0 mm","0,1 mm"," "," "," ","20/10/2021 12:00:00"
"Čáslav","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Liberec","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","20/10/2021 12:00:00"
"Churáňov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Přimda","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","20/10/2021 12:00:00"
"Milešovka"," ","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Polom","0,0 mm","3 mm","3,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Praha-Ruzyně","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Plzeň-Mikulka","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Tušimice","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","20/10/2021 12:00:00"
"Náměšť nad Oslavou","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Prostějov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Kocelovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Červená u Libavé","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","20/10/2021 12:00:00"
"Praha-Libuš","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","20/10/2021 12:00:00"
"Brno-Tuřany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Praha-Kbely","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Holešov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 12:00:00"
"Holešov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Svratouch","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Kostelní Myslová","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Čáslav","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Pec pod Sněžkou","0,0 mm","0,0 mm","0,5 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Kopisty"," ","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Šerák","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Kuchařovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Milešovka"," ","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Luká","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Lysá hora","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","20/10/2021 19:00:00"
"Košetice","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","20/10/2021 19:00:00"
"Doksany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Plzeň-Mikulka","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Přimda","neměřitelné","neměřitelné","neměřitelné","0 cm","0 cm","20/10/2021 19:00:00"
"Churáňov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Polom","0,0 mm","0,0 mm","3,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Pardubice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Temelín","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Náměšť nad Oslavou","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Červená u Libavé","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","20/10/2021 19:00:00"
"Jičín","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","20/10/2021 19:00:00"
"Cheb","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Prostějov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Karlovy Vary","0,0 mm","0,1 mm","neměřitelné","0 cm","0 cm","20/10/2021 19:00:00"
"Praha-Karlov","0,0 mm","0,0 mm"," "," "," ","20/10/2021 19:00:00"
"Praha-Ruzyně","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Dukovany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Tušimice","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","20/10/2021 19:00:00"
"Ústí nad Orlicí","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","20/10/2021 19:00:00"
"Přibyslav","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Maruška","0,0 mm"," ","0,4 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Liberec","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","20/10/2021 19:00:00"
"Praha-Kbely","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"České Budějovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Brno-Tuřany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Ústí nad Labem","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Kocelovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","20/10/2021 19:00:00"
"Praha-Libuš","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","20/10/2021 19:00:00"
"Maruška","0,0 mm","0,0 mm","0,4 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Náměšť nad Oslavou","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Jičín","neměřitelné","0,0 mm","neměřitelné","0 cm","0 cm","21/10/2021 05:00:00"
"Dukovany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Kopisty"," "," ","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Cheb","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Karlovy Vary","1 mm","1 mm","neměřitelné","0 cm","0 cm","21/10/2021 05:00:00"
"České Budějovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Liberec","1 mm","neměřitelné","neměřitelné","0 cm","0 cm","21/10/2021 05:00:00"
"Brno-Tuřany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Praha-Ruzyně","0,2 mm","neměřitelné","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Kocelovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Ústí nad Orlicí","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","21/10/2021 05:00:00"
"Tušimice","0,4 mm","0,3 mm","neměřitelné","0 cm","0 cm","21/10/2021 05:00:00"
"Pec pod Sněžkou","0,3 mm","0,0 mm","0,5 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Praha-Kbely","neměřitelné","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Plzeň-Mikulka","1 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Svratouch","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Praha-Libuš","neměřitelné","0,0 mm","neměřitelné","0 cm","0 cm","21/10/2021 05:00:00"
"Prostějov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Luká","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Ústí nad Labem","2 mm","0,3 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Praha-Karlov","neměřitelné","0,0 mm"," "," "," ","21/10/2021 05:00:00"
"Pardubice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Přimda","1 mm","neměřitelné","neměřitelné","0 cm","0 cm","21/10/2021 05:00:00"
"Milešovka"," ","0,1 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Košetice","neměřitelné","0,0 mm","neměřitelné","0 cm","0 cm","21/10/2021 05:00:00"
"Čáslav","neměřitelné","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Kuchařovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Kostelní Myslová","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Přibyslav","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Červená u Libavé","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","21/10/2021 05:00:00"
"Šerák","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Holešov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Polom","0,0 mm","0,0 mm","3,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Doksany","0,9 mm","0,1 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Churáňov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Temelín","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 05:00:00"
"Lysá hora","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","21/10/2021 05:00:00"
"Pec pod Sněžkou","0,0 mm","5 mm","5,2 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Liberec","0,0 mm","4 mm","4,2 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Svratouch","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Praha-Karlov","0,0 mm","0,4 mm"," "," "," ","21/10/2021 12:00:00"
"Dukovany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Polom","0,0 mm","0,2 mm","0,2 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Plzeň-Mikulka","neměřitelné","3 mm","2,7 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Kuchařovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Ústí nad Labem","neměřitelné","4 mm","4,2 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Temelín","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Kopisty"," ","2 mm","1,6 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Maruška","0,3 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Praha-Ruzyně","0,0 mm","1 mm","1,1 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Praha-Libuš","0,0 mm","0,5 mm","0,5 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Přibyslav","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Churáňov","0,0 mm","0,2 mm","0,2 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Brno-Tuřany","neměřitelné","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Kocelovice","0,0 mm","0,4 mm","0,4 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Prostějov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Čáslav","0,0 mm","0,2 mm","0,2 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Přimda","neměřitelné","6 mm","6,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Luká","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Holešov","neměřitelné","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"České Budějovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Jičín","neměřitelné","neměřitelné","0,2 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Náměšť nad Oslavou","0,0 mm","0,0 mm","0,3 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Luká","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","22/10/2021 19:00:00"
"Temelín","0,0 mm","0,0 mm","0,4 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Maruška","0,0 mm"," ","0,3 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Kuchařovice","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","22/10/2021 19:00:00"
"Přibyslav","0,0 mm","0,0 mm","0,7 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Churáňov","0,0 mm","0,0 mm","3,6 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Ústí nad Orlicí","0,0 mm","0,0 mm","1,3 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Kostelní Myslová","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","22/10/2021 19:00:00"
"Pardubice","0,0 mm","0,0 mm","0,7 mm","0 cm","0 cm","22/10/2021 19:00:00"
"České Budějovice","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Liberec","0,0 mm","0,0 mm","3,3 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Prostějov","0,0 mm","0,0 mm","neměřitelné"," "," ","22/10/2021 19:00:00"
"Přimda","0,0 mm","0,0 mm","1,6 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Holešov","0,0 mm","neměřitelné","0,7 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Čáslav","0,0 mm","0,0 mm","0,8 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Praha-Ruzyně","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","22/10/2021 19:00:00"
"Košetice","0,0 mm","0,0 mm","0,2 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Brno-Tuřany","0,0 mm","0,0 mm","0,6 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Karlovy Vary","0,0 mm","0,0 mm","2,6 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Plzeň-Mikulka","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","22/10/2021 19:00:00"
"Doksany","0,0 mm","0,0 mm","0,5 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Praha-Karlov","0,0 mm","0,0 mm"," "," "," ","22/10/2021 19:00:00"
"Šerák","0,0 mm","0,0 mm","1,7 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Lysá hora","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Tušimice","0,0 mm","0,0 mm","0,5 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Milešovka"," ","0,0 mm","1,1 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Ústí nad Labem","neměřitelné","neměřitelné","0,4 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Kocelovice","0,0 mm","0,0 mm","1,3 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Dukovany","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Praha-Libuš","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","22/10/2021 19:00:00"
"Kopisty"," ","0,0 mm","0,7 mm"," "," ","22/10/2021 19:00:00"
"Polom","0,0 mm","0,0 mm","2,2 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Praha-Kbely","0,0 mm","0,0 mm","neměřitelné","0 cm","0 cm","22/10/2021 19:00:00"
"Svratouch","0,0 mm","0,0 mm","0,8 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","0,1 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Cheb","0,0 mm","0,0 mm","1,8 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Červená u Libavé","0,0 mm","0,0 mm","0,8 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Pec pod Sněžkou","0,0 mm","0,0 mm","7,7 mm","0 cm","0 cm","22/10/2021 19:00:00"
"Červená u Libavé","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Milešovka"," ","3 mm","3,2 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Cheb","0,3 mm","8 mm","7,6 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Šerák","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Košetice","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","21/10/2021 12:00:00"
"Pardubice","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","21/10/2021 12:00:00"
"Ústí nad Orlicí","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Tušimice","neměřitelné","4 mm","3,9 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Doksany","0,0 mm","3 mm","3,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Karlovy Vary","neměřitelné","6 mm","6,2 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Lysá hora","0,1 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Praha-Kbely","0,0 mm","0,4 mm","0,4 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Náměšť nad Oslavou","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Jičín","0,0 mm","2 mm","2,3 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Kostelní Myslová","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","21/10/2021 12:00:00"
"Praha-Kbely","0,0 mm","neměřitelné","0,4 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Luká","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Tušimice","0,0 mm","0,3 mm","3,9 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Cheb","0,0 mm","2 mm","7,6 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Liberec","0,0 mm","3 mm","4,2 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Kopisty"," ","0,7 mm","1,6 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Dukovany","0,0 mm","0,1 mm","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Maruška","0,0 mm"," ","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Kuchařovice","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Brno-Tuřany","0,0 mm","0,5 mm","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Přibyslav","0,0 mm","0,7 mm","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Churáňov","0,0 mm","2 mm","0,2 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Pardubice","0,0 mm","0,7 mm","neměřitelné","0 cm","0 cm","21/10/2021 19:00:00"
"Praha-Karlov","0,0 mm","neměřitelné"," "," "," ","21/10/2021 19:00:00"
"Milešovka"," ","1 mm","3,2 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Doksany","0,0 mm","0,5 mm","3,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Kostelní Myslová","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Šerák","0,0 mm","2 mm","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Jičín","0,0 mm","0,2 mm","2,3 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Náměšť nad Oslavou","0,0 mm","0,2 mm","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Pec pod Sněžkou","0,0 mm","7 mm","5,2 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Ústí nad Orlicí","0,0 mm","1 mm","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"České Budějovice","0,0 mm","0,1 mm","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Přimda","0,0 mm","2 mm","6,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Praha-Libuš","0,0 mm","neměřitelné","0,5 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Červená u Libavé","0,0 mm","0,8 mm","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Plzeň-Mikulka","0,0 mm","neměřitelné","2,7 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Ostrava-Mošnov","0,0 mm","0,1 mm","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Ústí nad Labem","0,0 mm","0,4 mm","4,2 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Košetice","0,0 mm","0,2 mm","neměřitelné","0 cm","0 cm","21/10/2021 19:00:00"
"Polom","0,0 mm","2 mm","0,2 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Praha-Ruzyně","0,0 mm","neměřitelné","1,1 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Prostějov","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Čáslav","0,0 mm","0,8 mm","0,2 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Karlovy Vary","0,0 mm","0,8 mm","6,2 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Temelín","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Holešov","0,0 mm","0,6 mm","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Lysá hora","0,0 mm","0,1 mm","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Svratouch","0,0 mm","0,8 mm","0,0 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Kocelovice","0,0 mm","0,5 mm","0,4 mm","0 cm","0 cm","21/10/2021 19:00:00"
"Maruška","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Čáslav","0,0 mm","neměřitelné","0,2 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Plzeň-Mikulka","0,0 mm","neměřitelné","2,7 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Červená u Libavé","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Luká","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Praha-Kbely","0,0 mm","neměřitelné","0,4 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Liberec","0,0 mm","0,2 mm","4,2 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Ostrava-Mošnov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Praha-Libuš","neměřitelné","0,0 mm","0,5 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Kuchařovice","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Kostelní Myslová","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Holešov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"České Budějovice","0,0 mm","neměřitelné","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Přimda","0,0 mm","neměřitelné","6,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Brno-Tuřany","0,1 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Cheb","0,0 mm","0,3 mm","7,6 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Svratouch","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Praha-Ruzyně","0,0 mm","neměřitelné","1,1 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Prostějov","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Praha-Karlov","0,0 mm","0,0 mm"," "," "," ","22/10/2021 05:00:00"
"Tušimice","0,0 mm","0,2 mm","3,9 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Lysá hora","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Doksany","0,0 mm","0,0 mm","3,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Kopisty"," "," ","1,6 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Jičín","0,0 mm","neměřitelné","2,3 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Dukovany","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Přibyslav","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Kocelovice","0,0 mm","neměřitelné","0,4 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Polom","0,0 mm","0,0 mm","0,2 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Milešovka"," ","0,1 mm","3,2 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Temelín","0,0 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Košetice","0,0 mm","neměřitelné","neměřitelné","0 cm","0 cm","22/10/2021 05:00:00"
"Náměšť nad Oslavou","0,1 mm","0,0 mm","0,0 mm","0 cm","0 cm","22/10/2021 05:00:00"
"Karlovy Vary","0,0 mm","2 mm","6,2 mm","0 cm","0 cm","22/10/2021 05:00:00"
